,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Hobsonville,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Albert,New World Mt Roskill,New World New Lynn,New World Newmarket,New World Ormiston,New World Papakura,New World Papatoetoe,New World Point Chevalier,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Highland Park,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Botany Junction,Four Square Britomart,Four Square Cockle Bay,Four Square Eden Terrace,Four Square Ellerslie,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Onehunga,Four Square Remuera,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
Pak 'n Save Highland Park,3107.2,2621.26,586.64,3304.85,3341.84,1658.89,2920.44,3095.97,253.13,3494.07,2669.28,1879.62,2872.74,2050.74,2481.38,2710.04,1615.42,1096.68,2308.9,1612.75,2012.22,1583.37,1822.8,1224.24,1960.14,3064.7,516.45,2272.65,1328.42,0,2914.89,2645.55,2247.89,1399.39,2255.02,1140.29,2227.64,1661.24,1061.65,2702.57,2856.88,990.33,1954.82,438.24,1695.17,1303.2,2848.01,3077.95,3140.44,2932.31,1515.42,1567.37,420.47,1589.23,3549.92,2606.07
Pak 'n Save Henderson,2087.53,2388.32,3040.01,2285.18,3108.9,2480.52,1256.86,1255.54,3196.31,2474.4,2436.34,1753.38,2274.97,1458.15,1559.7,1143.68,1671.81,3211.73,3616.11,2589.9,1172.56,1916.48,3130.01,2307.18,1712.37,2045.03,3041.15,3013.2,2782.29,2997.95,0,488.47,2275.62,2787.52,1469.93,3255.34,3534.85,1873.09,2291.26,2151.66,1016.44,3085.27,1788.7,3381.42,1521.14,1961.53,427.35,778.24,1300.01,2457.39,1864.83,2041.66,2769.55,2831.02,2530.25,1684.39
Pak 'n Save Lincoln Road,1669.7,2148.46,2800.15,1867.35,2790.3,2240.66,1758.9,837.71,2956.45,2056.57,2117.74,1513.52,1857.14,1218.29,1319.84,1321.99,1431.95,2971.87,3376.25,2350.04,932.71,1676.62,2890.15,2067.32,1472.51,1627.2,2801.29,2773.34,2542.43,2758.09,500.2,0,2035.76,2547.67,1230.07,3015.48,3294.99,1633.23,2051.4,1733.84,598.61,2845.41,1548.84,3141.56,1281.28,1721.67,235.85,1146.2,882.18,2039.57,1624.97,1801.8,2529.69,2591.16,2112.43,1444.53
Pak 'n Save Mangere,3154.88,2586.67,1805.03,3352.53,3307.25,2624.26,1602.94,2322.89,2335.13,3541.75,2634.7,1951.73,2838.15,1656.5,1006.87,1526.18,1870.16,1586.76,1770.22,789.56,1574.53,1580.03,1284.13,2084.93,1910.72,3112.38,1872.33,1304.94,2389.54,2513.63,2141.8,1872.47,0,1042.72,1275.77,1630.37,1688.97,1088.61,1655.3,2667.98,2083.8,1460.3,1987.05,2361.76,1719.49,1885.46,2074.93,1987.72,2367.36,2897.72,863.09,2149.63,1990.63,2630.36,3597.61,1131.56
Pak 'n Save Manukau,2888.11,2402.17,860.72,3085.76,3122.75,1822.91,2164.71,2876.88,1390.83,3274.98,2450.2,1660.54,2653.65,1831.65,1568.64,2087.96,1396.33,642.45,1187.02,381.07,1793.13,1364.28,700.92,1283.59,1741.05,2845.61,928.03,1005.4,1588.19,1415.2,2695.8,2426.46,1022.19,0,1837.55,686.07,1105.76,1442.15,853.95,2483.48,2637.79,515.99,1735.73,1417.46,1476.08,1084.12,2628.92,2549.49,2921.35,2713.22,1374.87,1348.28,1189.29,1829.01,3330.83,1693.33
Pak 'n Save Mt Albert,2451.28,1792.84,2550.36,2648.93,2513.43,1885.04,697.62,1619.29,2600.83,2838.15,1840.87,1157.91,2044.32,366.86,481.6,509.67,1076.33,2332.08,2515.55,1626.97,415.33,1321.01,2029.46,1711.71,982.5,2408.78,2617.66,2050.27,2186.81,2402.47,1438.2,1168.87,1312.69,1788.05,0,2375.7,2434.3,910.15,1695.79,1874.16,1380.2,2205.63,1193.22,2785.95,857.49,1366.05,1371.33,981.13,1663.76,2103.89,901.9,1446.18,2174.07,2235.54,2894.01,637.07
Pak 'n Save Ormiston,3367.62,2881.68,594.75,3565.27,3602.26,2302.42,2637.59,3356.39,1124.86,3754.48,2929.7,2140.04,3133.16,2311.16,2041.52,2560.83,1875.84,108.21,1556.07,924.57,2272.64,1843.79,1069.97,1763.09,2220.56,3325.11,662.06,1305.31,2067.7,1149.23,3175.3,2905.96,1495.06,646.56,2310.42,0,1376.21,1921.65,1333.46,2962.99,3117.29,237.5,2215.24,1151.49,1955.58,1563.62,3108.43,3022.37,3400.86,3192.73,1854.37,1827.79,1039.19,2308.52,3810.34,2166.21
Pak 'n Save Papakura,3696.27,3210.33,1797.49,3893.92,3930.91,2631.07,2833.39,3685.04,2327.6,4083.13,3258.35,2468.69,3461.81,2639.81,2237.32,2756.64,2204.49,1454.57,254.53,1431.81,2601.29,2172.44,731.67,2091.74,2549.21,3653.76,1864.8,1035.61,2396.35,2520.44,3503.95,3234.61,1690.87,1156.07,2506.23,1420.94,0,2319.06,1662.11,3291.64,3445.95,1452.76,2543.89,2328.25,2284.23,1892.27,3437.08,3218.17,3729.51,3521.38,2093.54,2156.44,1997.44,2637.17,4138.99,2362.01
Pak 'n Save Royal Oak,2269.96,1784.02,1718.01,2467.61,2504.6,1263.37,1299.45,2019.4,1874.3,2656.82,1832.04,1042.38,2035.5,824.08,703.38,1222.69,676.41,1889.72,2243.96,1355.38,1271.04,731.31,1757.87,983.37,1122.9,2227.46,1719.15,1778.68,1458.48,1675.94,1838.31,1568.98,1041.1,1516.46,972.28,1933.33,2162.71,0,969.26,1865.33,1780.31,1763.26,1117.58,2059.42,857.92,610.11,1771.44,1684.23,2063.87,2095.07,212.81,788.74,1447.55,1507.21,2712.68,828.07
Pak 'n Save Sylvia Park,2416.17,1930.23,1103.08,2613.82,2650.82,1088.92,2229.41,2404.95,1259.38,2803.04,1978.26,1188.6,2181.71,1359.71,1790.36,2019.02,924.4,1245.56,1649.94,867.15,1321.19,892.35,1163.84,556.57,1269.12,2373.67,1104.22,1637.86,827.99,1061.02,2223.86,1954.52,1613.11,821.36,1564,1289.17,1568.68,970.21,0,2011.55,2165.85,1119.1,1263.8,1444.49,1004.14,449.5,2156.98,2386.92,2449.41,2241.28,902.93,876.34,832.62,1068.81,2858.9,1915.04
